Curated ID,M013,M035,M078,M073,M012,M038,M054,M021,M062,M053,M018,M036,M025,M010,M041,M005,M060,M074,M042,M075,M032,M055,M022,M034,M046,M047,M039,M020,M033,M011,M065,M019,M017,M009,M045,M008,M015,M037,M080,M061,M071,M070,M052,M051,M066,M043,M003,M024,M031,M001,M057,M044,M006,M026,M007,M064,M002,M059,M030,M048,M079,M058,M072,M028,M077,M069,M023,M063,M067,M068,M027,M004,M076,M056
(Nor)Leucine,925294.6985,1462093.991,1141638.784,674635.0732,20608178.28,797915.6361,2909300.363,1644546.582,2189767.015,5724255.303,1011109.506,540303.9733,10887815.44,5313251.047,2653892.52,1861643.866,46447068.08,894737.9247,922019.407,1914914.543,2144199.832,17688647.9,2053285.696,676833.7757,1212287.362,4846189.214,1302141.937,1539337.019,30208587.1,1508676.691,1122982.202,1150659.999,8029834.364,5148311.664,1320278.151,2799158.607,1719751.243,1253139.807,1745838.637,1566616.742,1502634.107,570364.9191,1702198.106,9869918.866,594552.5721,1772289.456,2628957.046,1455872.423,8218956.737,1069589.037,15348201.33,38451449.23,25275720.83,18470483.31,17388224.87,2830135.916,1581600.065,1480243.797,1050916.507,2907588.15,1492519.995,5180393.543,1071507.272,3440562.073,2516245.106,2461174.852,1596885.35,3532975.494,3772121.015,3227645.545,8246309.769,3551444.93,1911450.663,672499.9308
1-Aminocyclopropane-1-carboxylic acid,14234.98255,58843.49275,26878.1,13552.0467,302904.016,9642.899352,36875.36268,34565.92589,30083.51115,50606.25702,17553.28562,9040.790506,144316.2633,49016.60199,35103.0989,24374.07073,595500.9561,18380.8215,23606.29551,54865.69121,23068.41689,289538.5004,37262.8877,10625.63064,23168.55757,36906.9149,20287.74118,27326.64642,62975.67416,17200.57207,23948.18547,11704.06658,94361.49115,96886.1575,25444.36125,52350.03601,22456.56554,11617.29527,45109.06297,24172.37997,32961.71491,13259.87041,13535.2055,229884.7213,19696.51889,34810.3859,49592.96834,33762.20295,68222.59356,20697.32277,222689.3394,520832.7828,419428.1116,474249.5121,76567.026930000007,41193.59808,36353.87699,17506.88669,22949.43331,30907.79233,29613.32515,52454.26407,25477.87146,34500.70093,42691.54013,34216.15563,27695.97637,65100.24202,41046.32949,55750.47502,117968.3697,51470.10633,27963.81027,7708.726304
1-Methyladenosine,25993.64936,52160.49761,10787.919,9641.544724,649663.4384,14341.89421,54974.6212,27518.91938,12443.81664,159260.1715,11993.3436,15900.98299,62874.2617,71182.15256,32513.50372,105985.3643,2672672.393,15364.93839,25755.88907,17152.27139,34853.97445,644947.8934,17447.21872,24466.99976,45780.94932,62036.64804,6888.972837,6944.257572,38023.64032,28260.36608,31970.26744,13695.9867,46055.91312,156424.4737,59344.22039,162926.882,74320.61682,20754.12764,13921.33268,23317.16109,11369.93259,22548.60783,57715.4295,258695.0692,22246.64062,89551.293,25520.61434,111731.2308,46721.16674,13699.69446,222915.4767,419459.8609,211096.2125,284450.8386,78092.75346,13646.0438,18496.94864,124203.4047,8187.441721,98058.93897,16151.58031,66207.80464,10646.33496,219626.2315,17106.15364,30846.88586,56263.70558,52007.65045,30291.46184,85616.69365,211270.0335,33095.00232,10613.10309,47370.16534
1-Methylhistidine,60455.8533,1118286.201,185150.2189,100562.2531,40037525.28,97745.44091,22232878.56,491816.4708,134868.9952,32764278.26,60458.48108,112335.1555,4764750.754,6730258.284,527725.9344,11686786.72,19786166.15,144284.2362,214519.0491,662733.1974,243809.0462,24767046.98,280625.5527,86603.00404,7842992.121,37813620.93,235464.7909,317913.0518,3174161.235,3579285.241,189122.7712,75481.66664,530477.0609,18173017.01,116390.3705,1293945.963,563993.8331,146047.1357,185309.2759,281512.2397,401042.4585,67782.46451,36107708.64,24680975.22,4798.204161,188100.3085,335933.0598,194653.1137,2649537.48,78795.43979,41181214.41,6456009.639,47232979.34,27459125.44,37233966.47,867940.3366,71294.16672,7781272.98,93803.39364,48226317.42,139229.2286,5803406.339,152804.6726,679299.1963,613170.1292,323809.7704,601740.8078,2342556.214,71224.63161,286474.2142,4806288.236,628160.5821,101209.8547,22706722.69
2-Aminoadipic acid,27270.24213,24953.56551,15914.17952,14563.84983,124201.6279,32320.02953,81164.68641,40399.04876,114800.8889,108413.1218,23539.89127,21228.57503,53510.96435,56973.30977,54282.21896,40485.68912,276809.7459,20107.1282,10516.45382,52677.49099,22349.06509,231751.69,63228.82434,25852.3749,37860.26599,87929.63812,16908.02915,22150.95203,68346.93564,47056.39032,51597.28861,44223.49193,61707.06966,100522.7244,18042.05965,29037.40651,13585.73533,35371.3529,30530.76299,14863.43158,52781.45828,13207.62586,104145.4809,93474.97925,11560.81943,17111.87613,26251.40165,17990.65435,15846.87188,69964.60287,130904.4657,68945.06088,110689.7686,70843.39774,57476.03041,26229.47275,62790.11316,112394.089,42663.57705,68377.85364,41308.43692,491129.0844,23729.78569,22421.48936,18476.92247,13755.59374,22853.16818,48674.58798,23091.27037,18670.38569,37531.17463,52783.90646,12200.488,53657.20392
2-Hydroxybenzaldehyde,189304.9666,161199.4664,91956.21214,105466.1378,387727.1209,101161.1473,128195.2253,138288.3742,177340.73560000001,275311.1985,117663.662,111922.1343,131758.2681,1512790.071,116652.9091,176160.8367,3084156.328,127877.1015,109411.4324,133058.7634,282417.7962,901027.6389,146545.8411,258731.3919,325764.2011,469902.0704,96326.49897,83601.42718,2597994.237,532568.7632,163519.4985,79146.00787,463702.0346,198748.1078,129690.1993,340477.7775,243652.0964,173192.1497,72708.88628,334058.4515,348462.6025,80227.86212,126770.3837,5879948.738,127406.4379,179449.616,122486.2649,148254.826,3838970.695,142658.7774,220649.4999,30649.14551,3950794.99,524529.3667,1574362.543,241681.7488,229412.3168,169900.5287,116683.8651,117502.5666,98879.37291,302435.7556,113105.4558,88147.42739,154817.1639,122360.6425,169159.1662,120210.322,128637.945,125658.0915,112392.9131,137262.3387,150591.7062,170498.4044
2-Hydroxybutyric acid,24611.22651,178217.1312,122629.024,60754.56496,1157095.958,129128.5341,806100.3205,1567677.07,261669.0812,7282913.69,316387.8769,16337.0218,623526.2197,432624.3078,1177381.1,355045.6604,1370250.195,67470.0259,103888.6566,1113170.709,63209.83859,618627.4596,686758.1906,65503.42667,657027.7009,2176825.41,168627.8557,283610.4939,826515.8663,298703.975,120966.5165,100801.0342,610729.661,680040.6134,44448.31509,108475.4413,119888.6597,126040.587,169653.2481,177557.1578,45309.02504,76693.96429,1010271.001,3022899.814,32975.34889,84118.80201,328666.8163,68400.01171,785631.4417,522788.8881,1132317.083,278803.3315,1271909.248,1896629.451,1367828.558,117116.8115,1358065.704,119188.271,854549.9141,1954037.473,122001.5744,810287.6501,272014.4711,102657.4773,161314.5022,69655.84179,188243.9356,954451.4635,87117.62348,95799.40341,239253.7183,691681.2757,102967.2936,267082.1913
2-Hydroxyphenylacetic acid,165617.7745,90118.45916,95210.90829,187690.803,58290.80964,236080.2281,68346.47325,122463.2084,105881.63,44034.08248,259121.0732,365543.69,10867.15283,115625.8203,112641.5023,76034.74318,11466.06931,169202.7792,163072.9957,79521.58902,134033.8794,7576.452001,93596.02816,147032.0312,15326.09262,26657.53873,110673.1032,198461.0366,37206.46212,475965.5634,179549.9518,482823.6833,90046.21892,66418.48,148833.7727,131540.7852,214295.1254,207950.1555,61628.8723,150567.0298,77931.28065,337553.1635,38362.8046,47152.03723,275230.8115,38558.54116,76562.12371,106877.9575,26631.99427,56831.86331,16309.77287,20951.60614,57822.48651,42657.47875,50911.0183,123287.6455,72181.35616,28552.75231,214697.1144,70686.77806,120262.0963,26445.44207,93872.64269,165082.6896,95394.13415,199568.4957,104175.5976,118388.4434,148894.1281,104086.724,34060.87884,125120.7133,141496.1578,71484.01349
2-Piperidone,79808.37213,37561.55683,1713.847603,21904.07211,2993272.474,17272.74097,608036.1962,30501.8752,169185.884,726030.0445,70526.49804,32330.00286,11541.67535,2967494.794,18706.04387,502280.354,7198303.494,11185.91007,54566.37646,16548.10337,242380.5544,3393495.059,54992.47369,278691.7829,94321.96049,137969.7811,33560.09221,56306.87481,546735.2906,97042.37229,68177.79666,34818.96907,42619.7973,492198.2666,28121.24848,237575.826,133322.0565,14337.10337,10377.31609,28622.12869,35394.29776,45550.46621,376418.8028,275359.9639,16174.24238,24156.94526,17964.25499,44111.57859,978037.9534,15402.75228,1020892.509,17856.99845,2433955.928,50150.79641,264669.9641,44608.06365,13379.01212,3082225.103,35123.00229,321775.206,11414.2063,646977.9767,11806.55609,7415.652387,17059.83009,29992.88588,16773.97669,16192.96414,13508.89726,23256.56975,291135.9242,69530.25304,15650.05628,163515.1344
3-Hydroxyanthranilic acid,53111.34586,46982.25551,194448.487,536285.4384,24829.73955,201246.0482,8963.844771,113808.5298,144629.4497,15248.41784,211186.4063,2244.97779,28471.39194,1484.735063,52072.7669,28593.25238,5009.38144,400560.9697,337600.0839,120138.3247,20720.06801,5439.062387,126643.6561,95813.37809,9279.17594,25567.98084,464116.4337,300163.8881,33791.97803,32461.0318,210084.5074,515035.4569,8608.66393,21754.57269,85777.75319,132500.9807,301530.5526,155659.4556,421029.7522,124819.1169,51060.20583,475585.2097,23103.06151,3871.766747,77446.61225,35808.05195,125350.9891,55691.90509,1865.831396,57147.1703,41050.60443,61346.81712,6233.99902,16955.64295,38509.33836,38697.87567,18783.19837,109994.1461,72395.27431,28389.6875,247040.4037,29495.80237,271351.278,75235.34402,93895.24824,501721.5076,147292.7134,384025.4786,122989.7545,114527.8964,26256.47536,139972.7618,350395.6018,18645.66209
