sample,batch,animal,tissue,treatment,age,age_category,treatment_expl,type_simple
D300693,S3B014,M001,Digesta,TM1,0,a,VaccinatedCloacal&Histomonas,P
D300694,S3B014,M002,Digesta,TM1,0,a,VaccinatedCloacal&Histomonas,P
D300695,S3B014,M003,Digesta,TM1,0,a,VaccinatedCloacal&Histomonas,P
D300696,S3B014,M004,Digesta,TM1,0,a,VaccinatedCloacal&Histomonas,P
D300697,S3B014,M005,Digesta,TM1,7,b,VaccinatedCloacal&Histomonas,P
D300698,S3B014,M006,Digesta,TM1,7,b,VaccinatedCloacal&Histomonas,P
D300699,S3B014,M007,Digesta,TM1,7,b,VaccinatedCloacal&Histomonas,P
D300700,S3B014,M008,Digesta,TM1,7,b,VaccinatedCloacal&Histomonas,P
D300701,S3B014,M009,Digesta,TM1,7,b,VaccinatedCloacal&Histomonas,P
D300702,S3B014,M010,Digesta,TM1,14,c,VaccinatedCloacal&Histomonas,P
D300703,S3B014,M011,Digesta,TM1,14,c,VaccinatedCloacal&Histomonas,P
D300704,S3B014,M012,Digesta,TM1,9,c,VaccinatedCloacal&Histomonas,P
D300705,S3B014,M013,Digesta,TM1,14,c,VaccinatedCloacal&Histomonas,P
D300706,S3B014,M015,Digesta,TM1,14,c,VaccinatedCloacal&Histomonas,P
D300707,S3B014,M017,Digesta,TM1,21,d,VaccinatedCloacal&Histomonas,P
D300708,S3B014,M018,Digesta,TM1,21,d,VaccinatedCloacal&Histomonas,P
D300709,S3B014,M019,Digesta,TM1,21,d,VaccinatedCloacal&Histomonas,P
D300710,S3B014,M020,Digesta,TM1,21,d,VaccinatedCloacal&Histomonas,P
D300711,S3B014,M021,Digesta,TM2,0,a,VaccinatedOral&Histomonas,P
D300712,S3B014,M022,Digesta,TM2,0,a,VaccinatedOral&Histomonas,P
D300713,S3B014,M023,Digesta,TM2,0,a,VaccinatedOral&Histomonas,P
D300714,S3B014,M024,Digesta,TM2,0,a,VaccinatedOral&Histomonas,P
D300715,S3B014,M025,Digesta,TM2,7,b,VaccinatedOral&Histomonas,P
D300716,S3B014,M026,Digesta,TM2,7,b,VaccinatedOral&Histomonas,P
D300717,S3B014,M027,Digesta,TM2,7,b,VaccinatedOral&Histomonas,P
D300718,S3B014,M028,Digesta,TM2,7,b,VaccinatedOral&Histomonas,P
D300719,S3B014,M030,Digesta,TM2,14,c,VaccinatedOral&Histomonas,P
D300720,S3B014,M031,Digesta,TM2,14,c,VaccinatedOral&Histomonas,P
D300721,S3B014,M032,Digesta,TM2,14,c,VaccinatedOral&Histomonas,P
D300722,S3B014,M033,Digesta,TM2,14,c,VaccinatedOral&Histomonas,P
